id,Number of reported deaths from cholera,Cholera case fatality rate,WHO Region
385,21,3.41,Africa
386,61,11.58,Africa
387,19,2.93,Africa
388,66,5.21,Africa
389,491,12.2,Africa
390,0,0,Africa
391,2,50,Africa
392,0,0,Africa
393,6,6.38,Africa
394,12,7.27,Africa
395,103,8.89,Africa
396,60,15.31,Africa
397,18,32.73,Africa
398,3,60,Africa
399,17,7,Africa
400,23,10.04,Africa
401,4,25,Africa
402,0,0,Africa
403,27,20,Africa
404,0,0,Africa
405,16,19.28,Africa
406,16,7.77,Africa
407,27,7.46,Africa
408,336,15.51,Africa
409,0,0,Americas
410,0,0,Americas
411,0,0,Americas
412,0,0,Americas
413,,0,Americas
414,0,0,Americas
415,0,0,Americas
416,0,0,Americas
417,0,0,Americas
418,0,0,Americas
419,0,0,Americas
420,0,0,Americas
421,,,Americas
422,0,0,Americas
423,,,Americas
424,0,0,Americas
425,0,0,Americas
426,0,0,Americas
427,0,0,Americas
428,0,0,Americas
429,1,16.67,Americas
430,0,0,Americas
431,0,0,Americas
432,0,0,Americas
433,0,0,Africa
434,15,12.82,Africa
435,0,0,Africa
436,0,0,Africa
437,48,15,Africa
438,3,13.64,Africa
439,75,16.93,Africa
440,458,2.65,Africa
441,175,2.74,Africa
442,6,8.96,Africa
443,0,0,Africa
444,71,4.26,Africa
445,14,15.56,Africa
446,272,4.92,Africa
447,7,12.73,Africa
448,226,4.31,Africa
449,18,8.29,Africa
450,144,3.52,Africa
451,443,5.03,Africa
452,448,5.72,Africa
453,43,3.93,Africa
454,1344,9.66,Africa
455,87,25.74,Africa
456,3,33.33,Africa
457,2411,29.3,Africa
458,0,0,Americas
459,0,0,Americas
460,0,0,Americas
461,2,8.33,Americas
462,0,0,Americas
463,0,0,Americas
464,0,0,Americas
465,0,0,Americas
466,1,1.37,Americas
467,2,4.88,Americas
468,0,0,Western Pacific
469,0,0,Western Pacific
470,0,0,Western Pacific
471,1,1.89,Western Pacific
472,0,0,Western Pacific
473,,0,Western Pacific
474,0,0,Western Pacific
475,0,0,Western Pacific
476,0,0,Western Pacific
477,0,0,Western Pacific
478,2,1.24,Western Pacific
479,4,0.41,Western Pacific
480,1,0.41,Western Pacific
481,1,0.45,Western Pacific
482,0,0,Western Pacific
483,3,0.16,Western Pacific
484,0,0,Western Pacific
485,0,0,Western Pacific
486,29,2.46,Western Pacific
487,4,1.27,Western Pacific
488,88,0.85,Western Pacific
